"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that filters like Contact, Folder, Has attachment, From, and To are shown below the search bar","0","Verify filters displayed below search bar","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifyFiltersBelowSearchBar"
"","21103","undoWhileComposing","Default Suite","2026-03-12","passed","2026-03-12","com.titan.mobile.test.UndoTest","titanMobile_March_hybrid","com.titan.mobile.test.UndoTest","undoWhileComposing"
"","84299","bulkSelectValidationInLabel","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","bulkSelectValidationInLabel"
"","690263","tc434_435_validateFilterPriorityOrdering","Default Suite","2026-04-07","passed","2026-04-07","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","tc434_435_validateFilterPriorityOrdering"
"","25415","nonConversationView","Default Suite","2026-03-09","passed","2026-03-09","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","nonConversationView"
"","88855","tc_419","Default Suite","2026-05-15","passed","2026-05-15","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","tc_419"
"","5197","Verify scroll functionality and sticky bug feature footer","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.HamburgerMenuTest","titanMobile_March_hybrid","com.titan.mobile.test.HamburgerMenuTest","verifyScrollAndStickyFooter"
"Verify that when more than 400 threads are moved, a 'Moving' toast message is displayed and the Undo button is not shown.","33714","Verify 'Moving' toast and absence of Undo button when more than 400 threads are moved","Default Suite","2026-05-22","failed","2026-05-22","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","verifySlowMoveShowsMovingToastWithoutUndo"
"","0","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.EmailLabelsTest","E2E Flow Test","com.titan.mobile.test.EmailLabelsTest","setUp"
"","116927","scheduled2","Default Suite","2026-04-02","broken","2026-04-02","com.titan.mobile.test.ScheduledTest","titanMobile_March_hybrid","com.titan.mobile.test.ScheduledTest","scheduled2"
"","0","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.UndoTest","E2E Flow Test","com.titan.mobile.test.UndoTest","setUp"
"","0","setUp","Default Suite","2026-05-20","broken","2026-05-20","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","setUp"
"","49362","Tc586","Default Suite","2026-03-13","passed","2026-03-13","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","Tc586"
"","0","setupDriver","Default Suite","2026-05-15","broken","2026-05-15","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","setupDriver"
"","1","setupDriver","Default Suite","2026-02-27","broken","2026-02-27","com.titan.mobile.ThreadsTest","titanMobile_Duplicate","com.titan.mobile.ThreadsTest","setupDriver"
"","285552","tc364_archiveMoveToFolder","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","tc364_archiveMoveToFolder"
"Verify that user cannot select multiple senders or recipients","1","Verify multi-selection restriction for senders and recipients","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifySingleSelectionForSendersAndRecipients"
"Verify user can set reminders after message is sent and receives reminder notification at scheduled time","188715","Verify reminder functionality after sending an email","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","verifyReminderAfterSendingEmail"
"","79054","undoTesting","Default Suite","2026-03-12","passed","2026-03-12","com.titan.mobile.test.UndoTest","titanMobile_March_hybrid","com.titan.mobile.test.UndoTest","undoTesting"
"","2","startServer","Default Suite","2026-05-06","broken","2026-05-06","com.titan.mobile.test.ThreadsTest","titanMobile_March_hybrid","com.titan.mobile.test.ThreadsTest","startServer"
"","26604","validatingLabelFromWeb","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","validatingLabelFromWeb"
"","4","setUp","Default Suite","2026-05-19","broken","2026-05-19","com.titan.mobile.test.AppointmentBookingTest","titanMobile_March_hybrid","com.titan.mobile.test.AppointmentBookingTest","setUp"
"","498163","tc206","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","tc206"
"Verify that when fewer than 400 threads are moved, a 'Moved' toast message is displayed along with an Undo button.","62513","Verify 'Moved' toast and Undo button when less than 400 threads are moved","Default Suite","2026-05-22","broken","2026-05-22","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","verifyFastMoveShowsMovedToastAndUndo"
"","2","closeDriver","Default Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","closeDriver"
"","207106","tc363_archiveSwipeActions","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.ArchiveTest","titanMobile_March_hybrid","com.titan.mobile.test.ArchiveTest","tc363_archiveSwipeActions"
"Verify user can edit and delete reminders and validate reminder behavior on update and deletion","499098","Verify edit and delete reminder functionality","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","verifyEditAndDeleteReminders"
"","1","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.FollowUpReminderTest","E2E Flow Test","com.titan.mobile.test.FollowUpReminderTest","setUp"
"","0","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.EmailLabelsTest","E2E Flow Test","com.titan.mobile.test.EmailLabelsTest","login"
"","0","closeDriver","Default Suite","2026-02-27","broken","2026-02-27","com.titan.mobile.ThreadsTest","titanMobile_Duplicate","com.titan.mobile.ThreadsTest","closeDriver"
"Verify user can create, edit, delete labels from mobile and manage labels created from both web and mobile","48480","Verify label creation, editing, deletion and cross-platform management from mobile","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","verifyLabelCreationEditingDeletionAndManagementFromMobile"
"","5","startServer","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.AppointmentBookingTest","E2E Flow Test","com.titan.mobile.test.AppointmentBookingTest","startServer"
"","22194","bulkSelectIfMoreThan400Mails","Default Suite","2026-03-16","failed","2026-03-16","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","bulkSelectIfMoreThan400Mails"
"","10802","Verify static folders appear in hamburger menu","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.HamburgerMenuTest","titanMobile_March_hybrid","com.titan.mobile.test.HamburgerMenuTest","verifyStaticFolders"
"","1","setUp","Default Suite","2026-05-15","broken","2026-05-15","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","setUp"
"","27551","followUpReminderForScheduledMail","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.ScheduledTest","titanMobile_March_hybrid","com.titan.mobile.test.ScheduledTest","followUpReminderForScheduledMail"
"Verify that basic thread operations (move, read/unread, star/unstar, archive, delete) work in offline mode, but bulk actions and empty trash do not work. Note: Should work in Android","115483","Verify all move, read/unread, star/unstar, archive/delete operations work in offline mode","Default Suite","2026-05-12","passed","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","verifyThreadOperationsInOfflineMode"
"","187339","tc205","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","tc205"
"","3","startServer","Default Suite","2026-04-03","broken","2026-04-03","com.titan.mobile.test.SearchFilterTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchFilterTest","startServer"
"Verify that when the device is in offline mode, the Undo option is displayed to the user while moving an email thread to any folder and while sending an email.","1","Verify Undo option behavior when device is in offline mode","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.UndoTest","E2E Flow Test","com.titan.mobile.test.UndoTest","verifyUndoOptionForMoveAndSendActionsInOfflineMode"
"","0","tc_416","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchTest","E2E Flow Test","com.titan.mobile.test.SearchTest","tc_416"
"","68967","bulkselecttesting","Default Suite","2026-03-09","failed","2026-03-09","com.titan.mobile.test.BulkSelectTest","titanMobile_March_hybrid","com.titan.mobile.test.BulkSelectTest","bulkselecttesting"
"","0","setupDriver","Default Suite","2026-05-12","broken","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","setupDriver"
"","154431","tc624","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.CalendarBasicTest","titanMobile_March_hybrid","com.titan.mobile.test.CalendarBasicTest","tc624"
"","660177","tc_322","Default Suite","2026-05-06","broken","2026-05-06","com.titan.mobile.test.ThreadsTest","titanMobile_March_hybrid","com.titan.mobile.test.ThreadsTest","tc_322"
"Verify hamburger menu scrolling and ensure report a bug and feature options are sticky including in calendar tab","7250","Verify hamburger menu functionality and sticky footer options","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.HamburgerMenuTest","titanMobile_March_hybrid","com.titan.mobile.test.HamburgerMenuTest","verifyHamburgerMenuScrollAndStickyFooterOptions"
"","2","login","Default Suite","2026-05-12","broken","2026-05-12","com.titan.mobile.test.OfflineTest","titanMobile_March_hybrid","com.titan.mobile.test.OfflineTest","login"
"","0","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.HamburgerMenuTest","E2E Flow Test","com.titan.mobile.test.HamburgerMenuTest","setUp"
"Verify user does not receive follow-up reminder notification if they reply within the scheduled time","200507","Verify follow-up reminder behavior when user replies to mail","Default Suite","2026-05-21","passed","2026-05-21","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","verifyNoFollowUpReminderIfUserRepliesInTime"
"","0","setupDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.AppointmentBookingTest","E2E Flow Test","com.titan.mobile.test.AppointmentBookingTest","setupDriver"
"","193237","tc207","Default Suite","2026-04-02","passed","2026-04-02","com.titan.mobile.test.FollowUpReminderTest","titanMobile_March_hybrid","com.titan.mobile.test.FollowUpReminderTest","tc207"
"","0","tc411","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchTest","E2E Flow Test","com.titan.mobile.test.SearchTest","tc411"
"","1","vacation","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.VacationResponderTest","E2E Flow Test","com.titan.mobile.test.VacationResponderTest","vacation"
"","35396","verifyApplyLabelIsVisibleInMailViewOnly","Default Suite","2026-04-01","passed","2026-04-01","com.titan.mobile.test.EmailLabelsTest","titanMobile_March_hybrid","com.titan.mobile.test.EmailLabelsTest","verifyApplyLabelIsVisibleInMailViewOnly"
"Verify that selecting the 'Folder' filter opens the folder picker","2","Verify folder picker opens on selecting 'Folder' filter","All Test Suite","2026-04-24","skipped","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","verifyFolderPickerOpensOnFolderFilter"
"","29453","Verify Inbox Thread Functionality and Actions","Default Suite","2026-02-28","passed","2026-02-28","com.titan.mobile.ThreadsTest","titanMobile_Duplicate","com.titan.mobile.ThreadsTest","testInboxFunctionality"
"Verify user can multi-select threads using long press in conversation view, validate UI elements displayed during bulk selection, ensure 'Show Count' appears only in threaded view, confirm selected mail count updates on selecting/unselecting threads, and verify clicking 'X' deselects all selected emails.","2776","Verify multi-select functionality and thread count behavior in conversation view","Default Suite","2026-03-10","passed","2026-03-10","com.titan.mobile.test.DummyTest","titanMobile_March_hybrid","com.titan.mobile.test.DummyTest","verifyMultiSelectAndBulkSelectBehaviorInConversationView"
"","1","setUp","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.ScheduledTest","E2E Flow Test","com.titan.mobile.test.ScheduledTest","setUp"
"","48094","tc412","Default Suite","2026-05-12","passed","2026-05-12","com.titan.mobile.test.SearchTest","titanMobile_March_hybrid","com.titan.mobile.test.SearchTest","tc412"
"","0","login","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.SearchFilterTest","E2E Flow Test","com.titan.mobile.test.SearchFilterTest","login"
"","0","setupDriver","All Test Suite","2026-04-24","broken","2026-04-24","com.titan.mobile.test.EmailLabelsTest","E2E Flow Test","com.titan.mobile.test.EmailLabelsTest","setupDriver"
